student_id,age,gender,city,course_stream,study_hours_per_week,attendance_rate,prior_gpa_10pt,has_internet,device_type,parental_education,test_score,admission_date,fee_paid_inr,scholarship,comments,attendance_rate_pct,attendance_category,gpa_band,study_hours_bin,study_hours_qbin
S0098,23,Female,Mumbai,ME,9.4,94.0,5.51,Yes,Tablet,High School,70.9,07-05-2023,53224.0,No,,94.0,High (>75%),Medium (5-8),6-10,Q2
S0099,22,Male,Chennai,ME,8.2,71.3,6.09,No,Tablet,Phd,64.4,08-02-2024,52069.0,NONE,Prefers evening classes,71.3,Medium (50-75%),Medium (5-8),6-10,Q1
S0100,21,Female,Pune,EE,12.8,67.6,5.58,Yes,Laptop,Postgrad,73.3,13-03-2023,42773.0,No,,67.6,Medium (50-75%),Medium (5-8),11-15,Q3
S0101,17,Other,Kolkata,MCA,13.7,72.8,6.03,NONE,Mobile,NONE,49.2,28-01-2025,54888.0,Yes,Needs scholarship support,72.8,Medium (50-75%),Medium (5-8),11-15,Q3
S0102,20,Other,Kolkata,ME,0.0,63.1,8.46,Yes,NONE,Postgrad,89.7,04-04-2023,49415.0,Partial,,63.1,Medium (50-75%),High (>8),0-5,
S0103,21,Female,Bengaluru,EE,16.8,89.9,6.06,Yes,Laptop,NONE,66.8,21-01-2024,73136.0,Yes,Late enrollment,89.9,High (>75%),Medium (5-8),16-20,Q4
S0104,19,Female,Hyderabad,ECE,9.1,75.2,7.15,Yes,Laptop,Phd,84.8,09-04-2024,68079.0,Yes,,75.2,High (>75%),Medium (5-8),6-10,Q2
S0105,21,Female,Chennai,MCA,7.5,58.9,7.79,Yes,NONE,NONE,73.1,11-06-2023,54495.0,NONE,Transferred from another program,58.9,Medium (50-75%),Medium (5-8),6-10,Q1
S0106,24,Female,Bengaluru,MCA,14.5,99.0,7.42,NONE,Mobile,Postgrad,74.9,16-11-2023,78019.0,NONE,,99.0,High (>75%),Medium (5-8),11-15,Q3
S0107,29,Prefer_not_to_say,Mumbai,MBA,5.4,68.0,6.17,No,Mobile,Phd,76.5,06-03-2025,67854.0,Yes,,68.0,Medium (50-75%),Medium (5-8),6-10,Q1
S0108,23,NONE,Mumbai,NONE,21.2,77.6,8.04,Yes,Laptop,Postgrad,74.7,23-06-2025,57401.0,NONE,,77.6,High (>75%),High (>8),20+,Q4
S0109,23,Female,Bengaluru,BSC,17.9,99.4,6.51,No,Desktop,Undergrad,77.6,06-09-2023,40005.0,Partial,,99.4,High (>75%),Medium (5-8),16-20,Q4
S0110,22,NONE,Kolkata,MCA,9.7,82.5,7.35,Yes,NONE,Phd,87.9,11-02-2025,78328.0,Partial,Prefers evening classes,82.5,High (>75%),Medium (5-8),6-10,Q2
S0111,16,Male,Mumbai,CS,3.4,52.0,7.15,No,Tablet,Phd,70.9,21-11-2024,48883.0,Yes,Good coder,52.0,Medium (50-75%),Medium (5-8),0-5,Q1
S0112,22,Female,Remote,EE,18.8,101.4,7.08,Yes,NONE,High School,78.6,10-06-2023,46837.0,Partial,Transferred from another program,100.0,High (>75%),Medium (5-8),16-20,Q4
S0113,22,NONE,Pune,MCA,11.4,82.7,8.58,Yes,Mobile,Undergrad,66.7,11-08-2024,68181.0,Yes,Good coder,82.7,High (>75%),High (>8),11-15,Q2
S0114,31,Female,Pune,MCA,18.2,65.1,6.36,No,Laptop,Phd,89.6,05-12-2024,79518.0,Partial,Good coder,65.1,Medium (50-75%),Medium (5-8),16-20,Q4
S0115,21,Male,Remote,NONE,4.0,53.4,7.16,Yes,Mobile,NONE,57.9,29-02-2024,71074.0,No,Good coder,53.4,Medium (50-75%),Medium (5-8),0-5,Q1
S0116,23,Female,Bengaluru,CS,9.0,92.6,9.32,No,Laptop,Postgrad,95.0,09-08-2023,64511.0,Yes,,92.6,High (>75%),High (>8),6-10,Q1
S0117,22,Female,Remote,NONE,12.0,82.2,6.45,Yes,Desktop,NONE,67.4,20-12-2023,64758.0,Partial,Transferred from another program,82.2,High (>75%),Medium (5-8),11-15,Q2
S0118,18,Female,Chennai,MCA,12.2,77.0,7.15,Yes,Tablet,Postgrad,46.5,24-04-2023,66827.0,No,Good coder,77.0,High (>75%),Medium (5-8),11-15,Q3
S0119,26,Other,Chennai,BSC,9.7,98.6,8.05,Yes,NONE,NONE,69.9,25-11-2024,66071.0,Yes,Late enrollment,98.6,High (>75%),High (>8),6-10,Q2
S0120,25,Prefer_not_to_say,Bengaluru,CS,15.1,92.3,6.53,Yes,Desktop,Postgrad,57.8,23-06-2024,62250.0,Partial,Good coder,92.3,High (>75%),Medium (5-8),16-20,Q3
S0121,25,Male,Remote,MBA,6.7,54.1,7.96,Yes,Tablet,High School,70.9,16-02-2023,60834.0,Partial,Prefers evening classes,54.1,Medium (50-75%),Medium (5-8),6-10,Q1
S0122,19,Female,Chennai,BBA,11.3,63.7,8.37,No,Mobile,NONE,58.2,09-02-2024,59499.0,No,,63.7,Medium (50-75%),High (>8),11-15,Q2
S0123,27,NONE,Kolkata,MCA,12.6,59.9,7.95,No,Laptop,Phd,61.3,01-08-2023,53968.0,NONE,Late enrollment,59.9,Medium (50-75%),Medium (5-8),11-15,Q3
S0124,17,Other,Remote,MCA,14.6,89.6,5.32,No,Mobile,Postgrad,39.7,11-05-2023,57755.0,NONE,Needs scholarship support,89.6,High (>75%),Medium (5-8),11-15,Q3
S0125,24,NONE,Kolkata,NONE,15.6,47.0,6.33,NONE,Laptop,High School,61.2,24-02-2025,46456.0,No,,47.0,Low (<50%),Medium (5-8),16-20,Q4
S0126,30,Female,Chennai,NONE,6.4,79.2,7.15,NONE,Laptop,NONE,31.6,21-02-2025,59213.0,No,Prefers evening classes,79.2,High (>75%),Medium (5-8),6-10,Q1
S0127,18,Female,Pune,NONE,4.3,90.7,7.11,No,Laptop,NONE,44.2,24-10-2023,52091.0,Yes,Transferred from another program,90.7,High (>75%),Medium (5-8),0-5,Q1
S0128,20,NONE,Chennai,EE,18.4,97.6,7.94,Yes,NONE,NONE,79.4,03-05-2023,51171.0,NONE,Late enrollment,97.6,High (>75%),Medium (5-8),16-20,Q4
S0129,22,Male,Kolkata,BSC,13.7,65.5,7.41,NONE,Desktop,High School,79.8,24-05-2024,61439.0,Yes,,65.5,Medium (50-75%),Medium (5-8),11-15,Q3
S0130,20,Other,Delhi,EE,8.3,94.3,5.6,Yes,Laptop,NONE,74.4,29-06-2023,71136.0,Partial,Needs scholarship support,94.3,High (>75%),Medium (5-8),6-10,Q1
S0131,16,Male,Hyderabad,BBA,19.8,51.6,7.66,Yes,Desktop,NONE,53.5,25-01-2024,67347.0,No,,51.6,Medium (50-75%),Medium (5-8),16-20,Q4
S0132,22,Other,Mumbai,MCA,12.6,95.8,7.93,Yes,Tablet,Phd,67.3,27-05-2024,47436.0,Yes,,95.8,High (>75%),Medium (5-8),11-15,Q3
S0133,18,NONE,Remote,BSC,17.9,52.6,7.87,No,NONE,Postgrad,67.9,15-03-2023,52083.0,No,Prefers evening classes,52.6,Medium (50-75%),Medium (5-8),16-20,Q4
S0134,24,NONE,Delhi,CS,12.3,68.8,8.5,No,Laptop,Undergrad,50.6,01-06-2025,67526.0,Yes,Transferred from another program,68.8,Medium (50-75%),High (>8),11-15,Q3
S0135,19,Male,Chennai,NONE,22.3,92.8,8.2,No,NONE,NONE,90.6,22-03-2024,52140.0,Partial,Good coder,92.8,High (>75%),High (>8),20+,Q4
S0136,28,Male,Pune,MBA,20.8,54.0,7.75,Yes,Mobile,Postgrad,81.2,15-04-2024,58203.0,Partial,Good coder,54.0,Medium (50-75%),Medium (5-8),20+,Q4
S0137,19,Prefer_not_to_say,Bengaluru,MCA,10.8,58.8,7.12,No,Laptop,Undergrad,64.7,01-06-2025,64400.0,NONE,Prefers evening classes,58.8,Medium (50-75%),Medium (5-8),11-15,Q2
S0138,21,Male,Chennai,ME,16.9,88.3,5.21,Yes,Desktop,NONE,68.4,08-12-2024,52253.0,NONE,Transferred from another program,88.3,High (>75%),Medium (5-8),16-20,Q4
S0139,25,Female,Pune,BSC,15.2,88.2,7.72,Yes,Laptop,Undergrad,71.1,08-10-2024,60843.0,Partial,,88.2,High (>75%),Medium (5-8),16-20,Q3
S0140,17,Male,Hyderabad,ME,18.8,83.5,7.45,NONE,Mobile,NONE,37.4,27-12-2024,49328.0,Yes,,83.5,High (>75%),Medium (5-8),16-20,Q4
S0141,23,Female,Chennai,NONE,7.2,86.6,7.53,No,Laptop,Postgrad,64.3,24-10-2023,55189.0,No,,86.6,High (>75%),Medium (5-8),6-10,Q1
S0142,27,Male,Kolkata,NONE,15.4,77.6,5.67,Yes,Laptop,NONE,57.8,19-02-2024,62558.0,Partial,Needs scholarship support,77.6,High (>75%),Medium (5-8),16-20,Q3
S0143,16,Male,Bengaluru,CS,17.3,60.1,5.9,NONE,Desktop,NONE,53.0,29-11-2023,47256.0,Partial,,60.1,Medium (50-75%),Medium (5-8),16-20,Q4
S0144,23,Male,Pune,MCA,3.2,65.7,8.46,Yes,Mobile,NONE,63.8,31-03-2025,63524.0,Yes,,65.7,Medium (50-75%),High (>8),0-5,Q1
S0145,23,Female,Pune,NONE,6.1,55.9,7.15,No,Laptop,NONE,95.0,01-05-2025,59843.0,Partial,Late enrollment,55.9,Medium (50-75%),Medium (5-8),6-10,Q1
S0146,25,Female,Pune,NONE,1.8,99.5,8.02,No,Tablet,Undergrad,77.6,04-01-2023,64420.0,Partial,,99.5,High (>75%),High (>8),0-5,Q1
S0147,17,Prefer_not_to_say,Hyderabad,CS,10.7,80.0,7.23,NONE,NONE,NONE,59.4,14-05-2025,61791.0,Yes,,80.0,High (>75%),Medium (5-8),11-15,Q2
S0148,17,Female,Chennai,ECE,15.6,69.1,7.24,Yes,Laptop,High School,76.6,09-07-2023,70913.0,Partial,Prefers evening classes,69.1,Medium (50-75%),Medium (5-8),16-20,Q4
S0149,24,NONE,Hyderabad,MCA,19.5,72.7,8.33,No,Tablet,NONE,89.0,26-08-2024,61002.0,NONE,Prefers evening classes,72.7,Medium (50-75%),High (>8),16-20,Q4
S0150,23,Other,Remote,ME,12.4,101.8,6.58,No,Mobile,NONE,70.9,20-06-2024,56565.0,NONE,Good coder,100.0,High (>75%),Medium (5-8),11-15,Q3
S0151,23,Other,Mumbai,BSC,20.1,54.2,7.32,Yes,Mobile,High School,68.9,10-02-2024,60978.0,NONE,,54.2,Medium (50-75%),Medium (5-8),20+,Q4
S0152,23,Prefer_not_to_say,Mumbai,ME,60.0,80.2,6.65,No,Mobile,Postgrad,58.3,02-02-2025,64346.0,NONE,,80.2,High (>75%),Medium (5-8),20+,Q4
S0153,19,NONE,Remote,CS,3.5,75.4,6.68,No,Desktop,Phd,78.5,15-08-2023,60391.0,Partial,Needs scholarship support,75.4,High (>75%),Medium (5-8),0-5,Q1
S0154,23,Other,Chennai,BBA,11.7,81.7,6.83,NONE,Mobile,High School,73.9,03-08-2025,60325.0,No,,81.7,High (>75%),Medium (5-8),11-15,Q2
S0155,23,Female,Kolkata,MCA,13.9,46.1,7.47,Yes,NONE,NONE,81.4,20-03-2023,54384.0,NONE,,46.1,Low (<50%),Medium (5-8),11-15,Q3
S0156,19,NONE,Hyderabad,MBA,11.8,97.3,6.63,Yes,Desktop,Postgrad,77.5,27-06-2024,54697.0,NONE,Needs scholarship support,97.3,High (>75%),Medium (5-8),11-15,Q2
S0157,29,Female,Bengaluru,EE,1.7,100.9,8.71,Yes,Mobile,NONE,83.7,16-07-2025,48779.0,Partial,,100.0,High (>75%),High (>8),0-5,Q1
S0158,24,Male,Pune,BSC,11.6,78.9,6.13,No,Desktop,Undergrad,60.0,26-12-2023,73997.0,Partial,Late enrollment,78.9,High (>75%),Medium (5-8),11-15,Q2
S0159,17,NONE,Pune,NONE,5.5,86.8,6.98,Yes,NONE,High School,70.9,30-08-2023,50049.0,Yes,,86.8,High (>75%),Medium (5-8),6-10,Q1
S0160,24,Male,Chennai,MBA,15.3,100.3,6.67,Yes,NONE,Postgrad,71.0,30-05-2023,54457.0,NONE,Transferred from another program,100.0,High (>75%),Medium (5-8),16-20,Q3
S0161,18,Female,Kolkata,MCA,0.0,87.4,8.94,NONE,Laptop,Postgrad,99.1,22-07-2023,54253.0,Yes,Needs scholarship support,87.4,High (>75%),High (>8),0-5,
S0162,25,Female,Mumbai,NONE,7.3,54.2,7.44,No,Desktop,NONE,57.7,09-08-2024,67159.0,NONE,Good coder,54.2,Medium (50-75%),Medium (5-8),6-10,Q1
S0163,26,Male,Mumbai,MCA,9.4,79.6,7.15,Yes,Laptop,Phd,94.0,17-02-2025,57640.0,No,,79.6,High (>75%),Medium (5-8),6-10,Q2
S0164,22,Prefer_not_to_say,Pune,BBA,6.7,81.4,5.42,Yes,Tablet,Undergrad,70.9,07-01-2023,69982.0,Partial,Good coder,81.4,High (>75%),Medium (5-8),6-10,Q1
S0165,26,NONE,Chennai,ECE,11.7,70.4,7.52,NONE,Mobile,Undergrad,58.2,20-04-2024,54612.0,Partial,,70.4,Medium (50-75%),Medium (5-8),11-15,Q2
S0166,24,Prefer_not_to_say,Hyderabad,BSC,16.8,89.2,8.27,Yes,Tablet,Undergrad,60.7,28-11-2024,62232.0,Yes,,89.2,High (>75%),High (>8),16-20,Q4
S0167,25,Female,Mumbai,CS,7.1,101.1,7.3,No,NONE,NONE,63.2,03-06-2025,53317.0,Yes,,100.0,High (>75%),Medium (5-8),6-10,Q1
S0168,29,Male,NONE,NONE,14.5,100.5,8.48,NONE,Tablet,Postgrad,74.4,06-04-2023,77161.0,Partial,Prefers evening classes,100.0,High (>75%),High (>8),11-15,Q3
S0169,21,Male,Kolkata,CS,9.3,72.1,6.58,Yes,Laptop,NONE,75.8,03-11-2023,50499.0,Partial,Good coder,72.1,Medium (50-75%),Medium (5-8),6-10,Q2
S0170,19,Female,Mumbai,MBA,8.0,51.8,8.89,No,Tablet,NONE,59.4,28-03-2024,62479.0,Partial,Needs scholarship support,51.8,Medium (50-75%),High (>8),6-10,Q1
S0171,19,Male,Mumbai,EE,11.5,104.1,9.96,No,Laptop,Postgrad,67.6,26-03-2025,65070.0,NONE,Late enrollment,100.0,High (>75%),High (>8),11-15,Q2
S0172,19,Male,Delhi,ECE,6.8,95.3,6.76,No,Tablet,Undergrad,70.9,28-08-2024,63310.0,NONE,,95.3,High (>75%),Medium (5-8),6-10,Q1
S0173,22,NONE,Mumbai,CS,9.2,52.5,6.67,Yes,NONE,Postgrad,70.9,27-12-2023,58518.0,No,,52.5,Medium (50-75%),Medium (5-8),6-10,Q2
S0174,23,Male,Remote,CS,6.0,100.3,8.94,NONE,NONE,Phd,74.5,14-11-2023,58961.0,NONE,Needs scholarship support,100.0,High (>75%),High (>8),6-10,Q1
S0175,23,Male,Bengaluru,EE,21.8,97.2,9.1,Yes,Laptop,Postgrad,68.6,07-04-2024,60350.0,Partial,Late enrollment,97.2,High (>75%),High (>8),20+,Q4
S0176,25,Male,Remote,EE,12.2,76.1,6.57,No,Mobile,NONE,69.8,28-02-2023,58824.0,NONE,Transferred from another program,76.1,High (>75%),Medium (5-8),11-15,Q3
S0177,22,Female,Chennai,CS,0.0,80.5,6.7,Yes,Desktop,Postgrad,77.2,01-05-2025,67711.0,Yes,Late enrollment,80.5,High (>75%),Medium (5-8),0-5,
S0178,28,Male,Chennai,NONE,13.1,68.9,6.86,Yes,Mobile,High School,52.7,20-03-2023,77684.0,Partial,,68.9,Medium (50-75%),Medium (5-8),11-15,Q3
S0179,21,Male,Hyderabad,ME,60.0,48.3,5.59,Yes,NONE,Phd,64.1,21-09-2024,55540.0,NONE,Good coder,48.3,Low (<50%),Medium (5-8),20+,Q4
S0180,32,Female,Remote,EE,10.9,65.1,6.1,NONE,Mobile,High School,43.0,18-04-2024,49042.0,Partial,Good coder,65.1,Medium (50-75%),Medium (5-8),11-15,Q2
S0181,24,Male,Remote,ME,15.1,93.2,6.0,Yes,Tablet,Undergrad,74.0,04-05-2024,59294.0,Yes,Good coder,93.2,High (>75%),Medium (5-8),16-20,Q3
S0182,19,Male,Remote,BSC,15.8,45.3,7.15,No,Tablet,Undergrad,77.7,26-11-2023,80638.0,Yes,Transferred from another program,45.3,Low (<50%),Medium (5-8),16-20,Q4
S0183,18,Female,Kolkata,ECE,9.3,65.0,7.16,Yes,NONE,NONE,60.8,28-05-2024,53571.0,NONE,Prefers evening classes,65.0,Medium (50-75%),Medium (5-8),6-10,Q2
S0184,24,NONE,Mumbai,NONE,0.0,68.9,7.48,NONE,NONE,NONE,91.6,03-05-2023,73113.0,Partial,,68.9,Medium (50-75%),Medium (5-8),0-5,
S0185,21,Male,Bengaluru,NONE,10.6,77.2,9.06,No,Mobile,NONE,49.6,16-04-2023,73422.0,No,,77.2,High (>75%),High (>8),11-15,Q2
S0186,25,Female,Hyderabad,BSC,0.5,100.2,6.0,No,Mobile,Phd,46.0,01-01-2025,55571.0,Yes,,100.0,High (>75%),Medium (5-8),0-5,Q1
S0187,24,Prefer_not_to_say,Remote,BBA,4.4,65.8,8.38,No,Tablet,NONE,71.4,31-05-2024,64552.0,No,,65.8,Medium (50-75%),High (>8),0-5,Q1
S0188,22,Male,Remote,MBA,18.8,65.8,6.94,Yes,Desktop,Postgrad,83.7,02-10-2023,73027.0,NONE,Transferred from another program,65.8,Medium (50-75%),Medium (5-8),16-20,Q4
S0189,19,NONE,Delhi,ME,20.2,89.3,7.14,No,Laptop,High School,93.3,25-12-2024,56967.0,Yes,Good coder,89.3,High (>75%),Medium (5-8),20+,Q4
S0190,22,Other,Hyderabad,NONE,10.8,72.1,8.01,Yes,Desktop,Phd,61.1,25-03-2024,58371.0,No,,72.1,Medium (50-75%),High (>8),11-15,Q2
S0191,20,Prefer_not_to_say,Remote,NONE,14.9,58.5,5.85,No,NONE,High School,84.2,08-01-2024,55347.0,Yes,,58.5,Medium (50-75%),Medium (5-8),11-15,Q3
S0192,25,Male,Hyderabad,ECE,13.6,72.1,7.66,No,Mobile,Postgrad,67.4,28-07-2025,51882.0,No,Transferred from another program,72.1,Medium (50-75%),Medium (5-8),11-15,Q3
S0193,23,Prefer_not_to_say,Mumbai,ME,27.4,53.5,7.4,No,Desktop,NONE,65.4,02-01-2024,54806.0,Partial,Transferred from another program,53.5,Medium (50-75%),Medium (5-8),20+,Q4
S0194,17,Female,Delhi,BBA,17.6,55.6,7.79,Yes,Mobile,High School,81.3,04-03-2025,50208.0,Partial,Good coder,55.6,Medium (50-75%),Medium (5-8),16-20,Q4
S0195,23,Male,Hyderabad,ECE,11.4,74.9,7.55,Yes,Laptop,Phd,77.8,26-11-2024,60273.0,NONE,Good coder,74.9,Medium (50-75%),Medium (5-8),11-15,Q2
S0196,23,Female,Bengaluru,NONE,7.2,70.1,7.15,No,Tablet,Postgrad,44.4,19-03-2025,53840.0,Yes,Transferred from another program,70.1,Medium (50-75%),Medium (5-8),6-10,Q1
S0197,19,Female,Bengaluru,CS,4.0,99.9,6.43,Yes,Laptop,NONE,90.1,09-03-2023,61870.0,No,,99.9,High (>75%),Medium (5-8),0-5,Q1
S0198,23,Female,Chennai,BBA,13.0,66.7,6.56,No,Mobile,NONE,88.7,04-07-2023,47553.0,NONE,Needs scholarship support,66.7,Medium (50-75%),Medium (5-8),11-15,Q3
S0199,22,Male,NONE,NONE,8.2,79.8,6.45,No,Laptop,NONE,58.6,18-10-2023,62647.0,Partial,Good coder,79.8,High (>75%),Medium (5-8),6-10,Q1
S0200,18,Female,Delhi,MCA,4.9,82.9,6.53,No,Mobile,Postgrad,73.9,01-11-2025,66668.0,Partial,,82.9,High (>75%),Medium (5-8),0-5,Q1
